index,failure_test_name,failure_file,failure_namespace_version,failure_kind,classification,failure_cause,dependency_on_V40I_source_changes,test_source_identical_to_pre_I,test_source_SHA256,pre_existing_failure_reproduced_without_V40I_source,baseline_commit,baseline_mode,independent_environment_or_missing_dependency,original_message,baseline_message,branch_test_note,forensic_source_changes_to_force_pass
0,tests.dayahead.test_g56_freeze_artifacts::test_production_weight_file_and_config_fingerprints_are_reproducible,tests\dayahead\test_g56_freeze_artifacts.py,g56,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,DEPENDENCY_MISSING: torch (legacy frozen Torch 2.8.0 assertion),False,True,b158f2d0d09cef9b65b125e97f3d83082087ac3c0c26faff5a55feeb4a51dca5,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,ModuleNotFoundError: No module named 'torch',ModuleNotFoundError: No module named 'torch',,False
1,tests.dayahead.test_v28r2_certificates_ledgers::test_production_factory_binds_all_steps_without_running_them,tests\dayahead\test_v28r2_certificates_ledgers.py,v28r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,c3710f93bc9bab16c3a1ccf936800d53b210193b20bd37dc7ac51c3202e5b688,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',,False
2,tests.dayahead.test_v28r2_certificates_ledgers::test_first_four_handlers_materialize_real_authorities_without_native_solves,tests\dayahead\test_v28r2_certificates_ledgers.py,v28r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,c3710f93bc9bab16c3a1ccf936800d53b210193b20bd37dc7ac51c3202e5b688,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',,False
3,tests.dayahead.test_v28r2_certificates_ledgers::test_missing_electrical_cache_invokes_real_preparation_adapter,tests\dayahead\test_v28r2_certificates_ledgers.py,v28r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,c3710f93bc9bab16c3a1ccf936800d53b210193b20bd37dc7ac51c3202e5b688,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',,False
4,tests.dayahead.test_v28r2_certificates_ledgers::test_failed_old_run_spec_is_archived_before_new_revision_retry,tests\dayahead\test_v28r2_certificates_ledgers.py,v28r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,c3710f93bc9bab16c3a1ccf936800d53b210193b20bd37dc7ac51c3202e5b688,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',,False
5,tests.dayahead.test_v29_final_review::test_v29_artifact_sha_self_consistency,tests\dayahead\test_v29_final_review.py,v29,failure,UNRELATED_PREEXISTING_FROZEN_ARTIFACT_FAILURE,HISTORICAL_FROZEN_ARTIFACT_HASH_OR_SIZE_MISMATCH: inherited files do not match older version seal; reproduced before I code exists,False,True,35509b41553a643de659b5f3aaeca1b98aca6bbca2fd9d679eae2f079e9ecd04,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,False,"AssertionError: assert 3052 == 3073
 +  where 3052 = os.stat_result(st_mode=33206, st_ino=1407374885488162, st_dev=2426045862, st_nlink=1, st_uid=0, st_gid=0, st_size=3052, st_atime=1788603242, st_mtime=1788603242, st_ctime=1788603242).st_size
 +    where os.stat_result(st_mode=33206, st_ino=1407374885488162, st_dev=2426045862, st_nlink=1, st_uid=0, st_gid=0, st_size=3052, st_atime=1788603242, st_mtime=1788603242, st_ctime=1788603242) = stat()
 +      where stat = WindowsPath('C:/codex_mobileess_workspace/MobileESS_v40a_bounded_iterative_coopt/dayahead/artifacts/v29_grid_responsive_aidc/V29_4DAY_ACTUAL_RESULTS.csv').stat","AssertionError: assert 3052 == 3073
 +  where 3052 = os.stat_result(st_mode=33206, st_ino=562949955460530, st_dev=2426045862, st_nlink=1, st_uid=0, st_gid=0, st_size=3052, st_atime=1788682822, st_mtime=1788682822, st_ctime=1788682822).st_size
 +    where os.stat_result(st_mode=33206, st_ino=562949955460530, st_dev=2426045862, st_nlink=1, st_uid=0, st_gid=0, st_size=3052, st_atime=1788682822, st_mtime=1788682822, st_ctime=1788682822) = stat()
 +      where stat = WindowsPath('C:/codex_mobileess_workspace/v40i_prechange_tests/dayahead/artifacts/v29_grid_responsive_aidc/V29_4DAY_ACTUAL_RESULTS.csv').stat",,False
6,tests.dayahead.test_v28r2_source_preflight::test_materialized_source_cache_is_sha_verified_when_coverage_passes,tests\dayahead\test_v28r2_source_preflight.py,v28r2,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,e047c35da16d500e53241b83ca11688a8e77b861682b65fe8733b601af82f575,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\source_day_manifest.json',,False
7,tests.dayahead.test_v29_stage1_contracts::test_combined_traffic_source_is_split_into_strict_namespaces,tests\dayahead\test_v29_stage1_contracts.py,v29,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,ea282bea2730ceccb9fad3d546a34a397a8c7da3ee33e47c58f4b63b66ae1bed,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\traffic_mobility.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\cache\\v28r2_campaign_sources\\april_2025\\days\\2025-04-01\\traffic_mobility.json',,False
8,tests.dayahead.test_v29_stage6_reporting::test_v29_stage6_frozen_day_contracts,tests\dayahead\test_v29_stage6_reporting.py,v29,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,f90cacd4043196ac11c7d22816377db5d161479204bba33d31569feeeaba5f48,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\MobileESS_v40a_bounded_iterative_coopt\\frozen_artifacts\\v29_development_regression_apr01_04\\2025-04-01\\V29_DAY_RESULT.json',FileNotFoundError: [Errno 2] No such file or directory: 'C:\\codex_mobileess_workspace\\v40i_prechange_tests\\frozen_artifacts\\v29_development_regression_apr01_04\\2025-04-01\\V29_DAY_RESULT.json',,False
9,tests.dayahead.test_v29_stage4_formulation::test_reference_v3_carryin_mass_delta_and_no_double_counting,tests\dayahead\test_v29_stage4_formulation.py,v29,failure,UNRELATED_PREEXISTING_TEST_ENVIRONMENT_FAILURE,HISTORICAL_ARTIFACT_OR_SOURCE_MISSING: see exact original/baseline failure message; current workspace lacks required historical cache/source/result,False,True,0b0e6f404007e46a3dd3bb0ec5e44e4761ae04c1d50389d51afc580e74005fc3,True,67458be58fa5923fa27c566b1d9ff77d9d10ec0c,ISOLATED_PRE_I_DETACHED_CHECKOUT,True,FileNotFoundError: [WinError 3] 지정된 경로를 찾을 수 없습니다: 'C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw데이터\\데이터 센터\\NLR_scheduler_authority\\09_ScientificData2026_H100_B200_Workloads_Figshare31654879\\02_code_repo\\Single_Machine_Dataset\\Reinforcment Learning\\Training Code\\slprj\\sim\\varcache\\RL_Renewable_energy_smoothing',FileNotFoundError: [WinError 3] 지정된 경로를 찾을 수 없습니다: 'C:\\Users\\kjw39\\OneDrive\\Desktop\\4-2\\Mobile ESS\\raw데이터\\데이터 센터\\NLR_scheduler_authority\\09_ScientificData2026_H100_B200_Workloads_Figshare31654879\\02_code_repo\\Single_Machine_Dataset\\Reinforcment Learning\\Training Code\\slprj\\sim\\varcache\\RL_Renewable_energy_smoothing',,False
